City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Namatanai,PG,82.71,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
7,Cabo San Lucas,MX,80.26,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
8,Iracoubo,GF,77.2,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
12,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Rikitea,PF,74.39,few clouds,-23.1203,-134.9692,People ThankYou
14,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
16,Ottawa,CA,68.43,few clouds,45.4112,-75.6981,Delta Hotels by Marriott Ottawa City Centre
17,Surt,LY,79.32,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
18,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
20,Atuona,PF,77.72,few clouds,-9.8,-139.0333,Villa Enata
21,Kavieng,PG,82.83,light rain,-2.5744,150.7967,Nusa Island Retreat
25,Damnoen Saduak,TH,88.95,moderate rain,13.5182,99.9547,Maikaew Damnoen Resort
26,Muros,ES,67.08,clear sky,42.7762,-9.0603,Apartment Av. Castelao
29,Yellowknife,CA,72.12,broken clouds,62.456,-114.3525,The Explorer Hotel
32,Victoria,HK,88.97,overcast clouds,22.2855,114.1577,Mini Central
33,Fairbanks,US,85.6,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
34,Hithadhoo,MV,82.06,broken clouds,-0.6,73.0833,Scoop Guest House
37,Tura,IN,81.93,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
40,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
41,Mahebourg,MU,70.09,smoke,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
42,Nishihara,JP,86.05,broken clouds,26.1842,127.7558,Minshuku Agaihama
43,Lang Suan,TH,83.86,overcast clouds,9.9456,99.0785,Langsuan Resort
48,La Ronge,CA,70.02,few clouds,55.1001,-105.2842,Northland Motor Hotel
53,Mogadishu,SO,75.74,moderate rain,2.0371,45.3438,Hotel Juba
56,Jamestown,US,67.64,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
57,Inirida,CO,73.51,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
59,Bambous Virieux,MU,70.05,smoke,-20.3428,57.7575,Casa Tia Villa
60,Bonthe,SL,76.06,light rain,7.5264,-12.505,Bonthe Holiday Village
62,Roma,US,65.95,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
63,Hilo,US,86.29,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
67,Gondanglegi,ID,80.1,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
