City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,26.26,74,0,5.75,clear sky
1,Namatanai,PG,-3.6667,152.4333,82.71,75,95,11.43,moderate rain
2,Saskylakh,RU,71.9167,114.0833,61.5,41,89,10.42,overcast clouds
3,Khatanga,RU,71.9667,102.5,43.23,88,100,14.05,moderate rain
4,Tisovec,SK,48.6774,19.9436,49.87,86,20,4.88,few clouds
5,Airai,TL,-8.9266,125.4092,64.17,60,100,2.42,overcast clouds
6,Santa Luzia,BR,-19.7697,-43.8514,61.88,70,0,6.91,clear sky
7,Cabo San Lucas,MX,22.8909,-109.9124,80.26,53,9,11.16,clear sky
8,Iracoubo,GF,5.4802,-53.2011,77.2,80,95,8.66,overcast clouds
9,Kaitangata,NZ,-46.2817,169.8464,48.97,63,100,2.39,overcast clouds
10,Ongandjera,NA,-17.8833,15.0667,58.1,40,0,6.76,clear sky
11,Aykhal,RU,66.0,111.5,60.73,53,21,12.73,few clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,57,10.63,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,74.39,75,21,18.01,few clouds
14,Avarua,CK,-21.2078,-159.775,75.25,57,46,5.75,scattered clouds
15,Hobart,AU,-42.8794,147.3294,55.22,66,5,1.01,clear sky
16,Ottawa,CA,45.4112,-75.6981,68.43,57,20,6.91,few clouds
17,Surt,LY,31.2089,16.5887,79.32,83,0,6.29,clear sky
18,Neiafu,TO,-18.65,-173.9833,79.48,69,40,10.36,scattered clouds
19,Narsaq,GL,60.9167,-46.05,46.62,89,100,2.82,light rain
20,Atuona,PF,-9.8,-139.0333,77.72,80,22,25.55,few clouds
21,Kavieng,PG,-2.5744,150.7967,82.83,75,95,8.88,light rain
22,Bluff,NZ,-46.6,168.3333,47.8,71,100,4.16,overcast clouds
23,Ahipara,NZ,-35.1667,173.1667,59.65,96,100,11.74,moderate rain
24,Chokurdakh,RU,70.6333,147.9167,63.07,34,94,13.78,overcast clouds
25,Damnoen Saduak,TH,13.5182,99.9547,88.95,91,100,4.97,moderate rain
26,Muros,ES,42.7762,-9.0603,67.08,71,0,17.07,clear sky
27,Aktash,RU,50.3,87.7333,51.35,45,87,4.09,overcast clouds
28,East London,ZA,-33.0153,27.9116,58.66,73,0,7.07,clear sky
29,Yellowknife,CA,62.456,-114.3525,72.12,40,75,8.05,broken clouds
30,Port Elizabeth,ZA,-33.918,25.5701,53.31,88,0,4.61,clear sky
31,Polyarnyy,RU,69.1989,33.4478,54.59,82,41,2.77,scattered clouds
32,Victoria,HK,22.2855,114.1577,88.97,82,97,8.99,overcast clouds
33,Fairbanks,US,64.8378,-147.7164,85.6,40,0,5.75,smoke
34,Hithadhoo,MV,-0.6,73.0833,82.06,76,64,10.13,broken clouds
35,Egvekinot,RU,66.3167,-179.1667,48.31,73,100,7.09,overcast clouds
36,Rawson,AR,-43.3002,-65.1023,43.16,59,94,31.85,overcast clouds
37,Tura,IN,25.5198,90.2201,81.93,76,9,3.47,clear sky
